bodyId_pre,bodyId_post,instance_pre,instance_post,type_pre,type_post,weight
1158877703,447228814,LC17(lVLPT4)_R,PVLP106_R,LC17,PVLP106,51
1158877703,1068885266,LC17(lVLPT4)_R,PVLP151(SCB004)_R,LC17,PVLP151,12
1158877703,1070950293,LC17(lVLPT4)_R,PVLP151(SCB004)_R,LC17,PVLP151,2
1158877703,1219592090,LC17(lVLPT4)_R,LC17(lVLPT7)_R,LC17,LC17,2
1158877703,1221280490,LC17(lVLPT4)_R,LC17(lVLPT7)_R,LC17,LC17,5
1158877703,1221285175,LC17(lVLPT4)_R,LC17,LC17,LC17,3
1158877703,1250277991,LC17(lVLPT4)_R,LC17,LC17,LC17,2
1158877703,1260949492,LC17(lVLPT4)_R,AVLP340_R,LC17,AVLP340,2
1158877703,1321305370,LC17(lVLPT4)_R,PVLP061_R,LC17,PVLP061,102
1158877703,1345079276,LC17(lVLPT4)_R,LC17,LC17,LC17,2
1158877703,1354394414,LC17(lVLPT4)_R,PVLP120_R,LC17,PVLP120,17
1158877703,1374063129,LC17(lVLPT4)_R,PVLP132_R,LC17,PVLP132,15
1158877703,1381997776,LC17(lVLPT4)_R,PVLP071_R,LC17,PVLP071,17
1158877703,1382308349,LC17(lVLPT4)_R,PVLP071_R,LC17,PVLP071,13
1158877703,1405788552,LC17(lVLPT4)_R,LC17,LC17,LC17,2
1158877703,1435791739,LC17(lVLPT4)_R,PVLP132_R,LC17,PVLP132,9
1158877703,1449486007,LC17(lVLPT4)_R,AVLP537_R,LC17,AVLP537,14
1158877703,1466844031,LC17(lVLPT4)_R,LC17,LC17,LC17,2
1158877703,1471610338,LC17(lVLPT4)_R,LC17,LC17,LC17,3
1158877703,1472965897,LC17(lVLPT4)_R,LC17,LC17,LC17,3
1158877703,1473332777,LC17(lVLPT4)_R,LC17(lVLPT7)_R,LC17,LC17,2
1158877703,1473648518,LC17(lVLPT4)_R,LC17,LC17,LC17,2
1158877703,1477148598,LC17(lVLPT4)_R,PVLP075_R,LC17,PVLP075,4
1158877703,1479147574,LC17(lVLPT4)_R,PVLP072_R,LC17,PVLP072,17
1158877703,1479492693,LC17(lVLPT4)_R,PVLP072_R,LC17,PVLP072,5
1158877703,1497200791,LC17(lVLPT4)_R,LC17,LC17,LC17,2
1158877703,1504428248,LC17(lVLPT4)_R,PVLP075_R,LC17,PVLP075,3
1158877703,1508123633,LC17(lVLPT4)_R,PVLP018_R,LC17,PVLP018,5
1158877703,1512232956,LC17(lVLPT4)_R,AVLP135_R,LC17,AVLP135,2
1158877703,1528577476,LC17(lVLPT4)_R,LC17,LC17,LC17,2
1158877703,1534694621,LC17(lVLPT4)_R,LC17,LC17,LC17,2
1158877703,1535082316,LC17(lVLPT4)_R,PVLP135_R,LC17,PVLP135,32
1158877703,1535086505,LC17(lVLPT4)_R,PVLP135_R,LC17,PVLP135,29
1158877703,1562707421,LC17(lVLPT4)_R,LC17(lVLPT7)_R,LC17,LC17,2
1158877703,1589972966,LC17(lVLPT4)_R,LC17(lVLPT4)_R,LC17,LC17,2
1158877703,1593012939,LC17(lVLPT4)_R,LC17,LC17,LC17,2
1158877703,1603645798,LC17(lVLPT4)_R,PVLP072_R,LC17,PVLP072,8
1158877703,1603957106,LC17(lVLPT4)_R,AVLP409_R,LC17,AVLP409,2
1158877703,1625800608,LC17(lVLPT4)_R,LC17,LC17,LC17,2
