type_pre,bodyId_post,instance_post,type_post,weight
LC17,447228814,PVLP106_R,PVLP106,7025
LC17,1068885266,PVLP151(SCB004)_R,PVLP151,1090
LC17,1070950293,PVLP151(SCB004)_R,PVLP151,230
LC17,1321305370,PVLP061_R,PVLP061,12594
LC17,1354394414,PVLP120_R,PVLP120,1742
LC17,1374063129,PVLP132_R,PVLP132,2180
LC17,1381997776,PVLP071_R,PVLP071,1162
LC17,1382308349,PVLP071_R,PVLP071,1143
LC17,1435791739,PVLP132_R,PVLP132,1978
LC17,1449486007,AVLP537_R,AVLP537,1764
LC17,1477148598,PVLP075_R,PVLP075,159
LC17,1479147574,PVLP072_R,PVLP072,1823
LC17,1479492693,PVLP072_R,PVLP072,723
LC17,1504428248,PVLP075_R,PVLP075,157
LC17,1508123633,PVLP018_R,PVLP018,1010
LC17,1512232956,AVLP135_R,AVLP135,115
LC17,1535082316,PVLP135_R,PVLP135,3062
LC17,1535086505,PVLP135_R,PVLP135,3545
LC17,1539496112,PVLP073_R,PVLP073,107
LC17,1601227987,AVLP552_R,AVLP552,111
LC17,1603645798,PVLP072_R,PVLP072,1074
LC17,1603957106,AVLP409_R,AVLP409,160
LC17,1630342162,PVLP036_R,PVLP036,1446
LC17,1690694192,PVLP036_R,PVLP036,1620
LC17,1690698128,PVLP036_R,PVLP036,552
LC17,1695693354,PVLP072_R,PVLP072,636
LC17,5813017315,AVLP479_R,AVLP479,1423
LC17,5813039148,PVLP011_R,PVLP011,8342
LC17,5813054384,PPM1203_R,PPM1203,105
LC17,5813057178,PVLP136_R,PVLP136,288
LC17,5813057579,AVLP538_R,AVLP538,2544
LC17,5813077633,AVLP479_R,AVLP479,1358
LC17,5813080260,AVLP153_R,AVLP153,531
