path,bodyId,type,weight,size,source,target
0,447228814,PVLP106,0,3,447228814,512851433
0,1411737459,PVLP010,17,3,447228814,512851433
0,2031343357,WED092,16,3,447228814,512851433
0,512851433,DNp10,13,3,447228814,512851433
1,447228814,PVLP106,0,3,447228814,512851433
1,981194127,AVLP083,10,3,447228814,512851433
1,2031343357,WED092,10,3,447228814,512851433
1,512851433,DNp10,13,3,447228814,512851433
0,447228814,PVLP106,0,3,447228814,542751938
0,1449835055,AVLP435,22,3,447228814,542751938
0,729621875,CL002,29,3,447228814,542751938
0,542751938,DNp44,19,3,447228814,542751938
0,447228814,PVLP106,0,2,447228814,571346836
0,859839499,AVLP532,19,2,447228814,571346836
0,571346836,DNg30,14,2,447228814,571346836
1,447228814,PVLP106,0,2,447228814,571346836
1,1406911688,PVLP093,154,2,447228814,571346836
1,571346836,DNg30,13,2,447228814,571346836
2,447228814,PVLP106,0,2,447228814,571346836
2,1321564092,AVLP001,197,2,447228814,571346836
2,571346836,DNg30,12,2,447228814,571346836
0,447228814,PVLP106,0,3,447228814,707116522
0,1448794542,,51,3,447228814,707116522
0,2060448332,,14,3,447228814,707116522
0,707116522,DNa10,32,3,447228814,707116522
1,447228814,PVLP106,0,3,447228814,707116522
1,1013982515,AVLP086,44,3,447228814,707116522
1,1441331113,AOTU032,14,3,447228814,707116522
1,707116522,DNa10,14,3,447228814,707116522
2,447228814,PVLP106,0,3,447228814,707116522
2,915528488,PLP093,16,3,447228814,707116522
2,5813070594,PS112,26,3,447228814,707116522
2,707116522,DNa10,13,3,447228814,707116522
3,447228814,PVLP106,0,3,447228814,707116522
3,5813027276,AVLP080,15,3,447228814,707116522
3,418607079,AVLP590,12,3,447228814,707116522
3,707116522,DNa10,35,3,447228814,707116522
4,447228814,PVLP106,0,3,447228814,707116522
4,1103102334,PVLP122,17,3,447228814,707116522
4,1469131844,,15,3,447228814,707116522
4,707116522,DNa10,31,3,447228814,707116522
5,447228814,PVLP106,0,3,447228814,707116522
5,1480525262,AVLP536,11,3,447228814,707116522
5,418607079,AVLP590,20,3,447228814,707116522
5,707116522,DNa10,35,3,447228814,707116522
6,447228814,PVLP106,0,3,447228814,707116522
6,1375845363,PVLP100,19,3,447228814,707116522
6,1100404581,DNp07,14,3,447228814,707116522
6,707116522,DNa10,58,3,447228814,707116522
0,447228814,PVLP106,0,2,447228814,887195902
0,1663017965,WED104,63,2,447228814,887195902
0,887195902,DNp13,19,2,447228814,887195902
0,447228814,PVLP106,0,2,447228814,981000564
0,915528488,PLP093,16,2,447228814,981000564
0,981000564,DNp42,23,2,447228814,981000564
0,447228814,PVLP106,0,3,447228814,984030630
0,1448794542,,51,3,447228814,984030630
0,1383383062,PVLP015,13,3,447228814,984030630
