type_pre,type_post,weight
AVLP076,AVLP078,9
AVLP076,AVLP080,26
AVLP076,AVLP166,24
AVLP076,AVLP369,3
AVLP076,AVLP442,3
AVLP076,AVLP498,5
AVLP076,AVLP506,5
AVLP076,CL256,7
AVLP076,CL266_a,2
AVLP076,DNa02,4
AVLP076,DNp09,12
AVLP076,LAL053,2
AVLP076,PVLP010,2
AVLP076,PVLP015,3
AVLP076,PVLP062,14
AVLP076,PVLP076,7
AVLP076,PVLP114,19
AVLP076,PVLP131,2
AVLP076,PVLP150,3
AVLP078,AVLP498,2
AVLP078,CL277,6
AVLP078,DNp09,19
AVLP078,PVLP010,12
AVLP078,PVLP131,102
AVLP080,AVLP076,21
AVLP080,AVLP078,16
AVLP080,AVLP166,38
AVLP080,AVLP215,2
AVLP080,AVLP369,2
AVLP080,AVLP442,6
AVLP080,AVLP498,6
AVLP080,AVLP506,10
AVLP080,CL256,3
AVLP080,DNp09,11
AVLP080,PVLP010,2
AVLP080,PVLP062,36
AVLP080,PVLP076,29
AVLP080,PVLP114,10
AVLP080,PVLP150,19
AVLP153,AVLP076,14
AVLP153,AVLP078,12
AVLP153,AVLP080,9
AVLP153,AVLP506,13
AVLP166,AVLP076,36
AVLP166,AVLP215,10
AVLP166,AVLP369,2
AVLP166,CL256,2
AVLP166,DNp09,67
AVLP215,AVLP076,7
AVLP215,AVLP080,3
AVLP215,AVLP166,53
AVLP215,AVLP369,3
AVLP215,AVLP442,4
AVLP215,AVLP506,21
AVLP215,CL256,17
AVLP215,DNp09,15
AVLP369,AVLP078,2
AVLP369,DNp09,68
AVLP369,LAL054,8
AVLP369,PVLP004,8
AVLP369,PVLP015,7
AVLP409,AVLP080,9
AVLP442,AVLP369,2
AVLP442,AVLP498,3
AVLP442,CL266_a,2
AVLP442,DNp09,17
AVLP442,PVLP010,17
AVLP442,PVLP015,2
AVLP479,AVLP078,2
AVLP479,AVLP080,28
AVLP479,AVLP166,2
AVLP479,AVLP215,54
AVLP479,AVLP369,19
AVLP479,AVLP442,12
AVLP479,LAL053,4
AVLP479,PVLP010,4
AVLP479,PVLP150,5
AVLP498,AVLP076,2
AVLP498,AVLP078,2
AVLP498,AVLP080,3
AVLP498,AVLP442,2
AVLP498,DNb01,30
AVLP498,DNp09,6
AVLP498,LAL054,2
AVLP498,PVLP015,42
AVLP498,PVLP114,7
AVLP498,PVLP131,2
AVLP506,AVLP076,45
AVLP506,AVLP166,31
AVLP506,AVLP215,10
AVLP506,AVLP369,37
AVLP506,DNp09,29
AVLP537,AVLP076,2
AVLP537,AVLP078,57
AVLP537,AVLP498,2
AVLP537,AVLP506,7
AVLP537,LAL136_a,2
AVLP537,PVLP076,3
AVLP537,PVLP150,2
AVLP538,AVLP076,36
AVLP538,AVLP078,69
AVLP538,AVLP080,40
AVLP538,AVLP166,40
AVLP538,AVLP215,5
AVLP538,AVLP369,17
AVLP538,AVLP442,5
AVLP538,AVLP498,22
AVLP538,AVLP506,3
AVLP538,CL256,9
AVLP538,CL266_a,7
AVLP538,CL277,31
AVLP538,DNp09,14
AVLP538,LAL053,11
AVLP538,LAL054,7
AVLP538,LAL136_a,9
AVLP538,LAL136_b,5
AVLP538,LT82a,13
AVLP538,OA-VUMa1,21
AVLP538,PVLP004,43
AVLP538,PVLP010,11
AVLP538,PVLP015,9
AVLP538,PVLP076,16
AVLP538,PVLP114,16
AVLP538,PVLP131,101
AVLP538,PVLP150,14
AVLP552,AVLP498,2
AVLP552,CL266_a,10
AVLP552,CL277,6
AVLP552,LAL054,2
AVLP552,PVLP062,17
CL053,DNb01,9
CL053,DNp07,14
CL053,DNp09,3
CL053,OA-VUMa1,10
CL053,PLP249,31
CL053,PVLP004,7
CL053,WED075,17
CL256,AVLP076,22
CL256,AVLP080,6
CL256,AVLP166,34
CL256,AVLP215,5
CL256,AVLP498,2
CL256,CL266_a,8
CL256,DNp09,13
CL266_a,AVLP076,5
CL266_a,DNp09,12
CL266_a,PVLP010,8
CL266_a,PVLP076,2
CL277,AVLP442,2
CL277,CL266_a,7
CL277,DNp09,15
CL277,LAL054,3
CL277,PVLP015,4
CL277,PVLP131,8
LAL053,DNa01,4
LAL053,DNa02,20
LAL053,DNa03,86
LAL053,DNb01,28
LAL053,LAL054,2
LAL054,DNa02,21
LAL054,DNa03,9
LAL054,DNb01,28
LAL054,OA-VUMa1,4
LAL136_a,AVLP080,2
LAL136_a,DNa02,11
LAL136_a,DNa03,3
LAL136_a,DNa04,58
LAL136_a,DNb01,17
LAL136_a,LAL136_b,3
LAL136_b,DNa02,2
LAL136_b,DNa03,2
LAL136_b,DNa04,18
LAL136_b,LAL136_a,7
LLPC2c,DNa02,9
LLPC2c,DNa04,83
LLPC2c,DNb01,11
LLPC2c,OA-VUMa1,2
LLPC2c,PLP018,13
LLPC2c,PLP249,110
LT82a,AVLP078,2
LT82a,AVLP080,6
LT82a,DNa02,13
LT82a,DNb01,4
LT82a,LAL053,49
LT82a,LAL054,5
LT82a,LAL136_a,13
LT82a,LAL136_b,5
LT82a,OA-VUMa1,4
LT82a,PVLP004,10
LT82a,PVLP015,10
LT82a,PVLP076,2
LT82a,PVLP114,45
